"","Iplant_Double","Month","Year","Hummingbird","Camera","Day","Bird","Plant","Yobs","Transect_R","DateP","ID","Elev","Traitmatch","Flowers","Month.a","jBird","jPlant"
"393","Columnea ciliata",3,"2015","Tawny-bellied Hermit",198,1,11,46,0,"1900_2100","2015-03-11","FH733",NA,0.759,15.5,"Mar",15,6
"394","Columnea ciliata",3,"2015","Green-crowned Brilliant",198,1,10,46,0,"1900_2100","2015-03-11","FH733",NA,2.645,15.5,"Mar",9,6
"395","Columnea ciliata",3,"2015","Brown Inca",198,1,13,46,1,"1900_2100","2015-03-11","FH733",2040,1.466,15.5,"Mar",3,6
"396","Columnea ciliata",6,"2013","Purple-bibbed Whitetip",240,1,7,46,0,"1500_1700","2013-06-08","FL009",NA,2.892,3,"Jun",12,6
"397","Columnea ciliata",6,"2013","Wedge-billed Hummingbird",240,1,6,46,0,"1500_1700","2013-06-08","FL009",NA,3.432,3,"Jun",17,6
"398","Columnea ciliata",6,"2013","Stripe-throated Hermit",240,1,4,46,1,"1500_1700","2013-06-08","FL009",1560,2.56,3,"Jun",14,6
"399","Columnea ciliata",6,"2013","Booted Racket-tail",240,1,8,46,0,"1500_1700","2013-06-08","FL009",NA,3.53,3,"Jun",2,6
"400","Columnea ciliata",7,"2013","Violet-tailed Sylph",268,1,14,46,1,"1900_2100","2013-07-24","FL074",2040,3.198,5.5,"Jul",16,6
"401","Columnea ciliata",7,"2013","Green-crowned Brilliant",268,1,10,46,0,"1900_2100","2013-07-24","FL074",NA,2.645,5.5,"Jul",9,6
"402","Columnea ciliata",7,"2013","Tawny-bellied Hermit",268,1,11,46,0,"1900_2100","2013-07-24","FL074",NA,0.759,5.5,"Jul",15,6
"403","Columnea ciliata",7,"2014","White-whiskered Hermit",335,1,3,46,0,"1300_1500","2014-07-06","NF099",NA,0.602,0,NA,18,6
"404","Columnea ciliata",7,"2014","Stripe-throated Hermit",335,2,4,46,0,"1300_1500","2014-07-09","NF099",NA,2.56,0,NA,14,6
"405","Columnea ciliata",7,"2014","White-whiskered Hermit",335,2,3,46,1,"1300_1500","2014-07-09","NF099",1400,0.602,0,NA,18,6
"406","Columnea ciliata",7,"2014","Stripe-throated Hermit",335,1,4,46,1,"1300_1500","2014-07-06","NF099",1400,2.56,0,NA,14,6
"407","Columnea ciliata",7,"2014","Wedge-billed Hummingbird",335,2,6,46,0,"1300_1500","2014-07-09","NF099",NA,3.432,0,NA,17,6
"408","Columnea ciliata",7,"2014","Wedge-billed Hummingbird",335,1,6,46,0,"1300_1500","2014-07-06","NF099",NA,3.432,0,NA,17,6
"409","Columnea ciliata",8,"2013","Stripe-throated Hermit",292,2,4,46,9,"1300_1500","2013-08-15","FL103",1400,2.56,1,"Aug",14,6
"410","Columnea ciliata",8,"2013","Stripe-throated Hermit",292,1,4,46,4,"1300_1500","2013-08-14","FL103",1400,2.56,1,"Aug",14,6
"411","Columnea ciliata",8,"2013","White-whiskered Hermit",292,2,3,46,1,"1300_1500","2013-08-15","FL103",1400,0.602,1,"Aug",18,6
"412","Columnea ciliata",8,"2013","Wedge-billed Hummingbird",292,1,6,46,0,"1300_1500","2013-08-14","FL103",NA,3.432,1,"Aug",17,6
"413","Columnea ciliata",8,"2013","White-whiskered Hermit",292,1,3,46,1,"1300_1500","2013-08-14","FL103",1400,0.602,1,"Aug",18,6
"414","Columnea ciliata",8,"2013","Wedge-billed Hummingbird",292,2,6,46,0,"1300_1500","2013-08-15","FL103",NA,3.432,1,"Aug",17,6
"415","Columnea ciliata",12,"2013","Wedge-billed Hummingbird",308,1,6,46,0,"1500_1700","2013-12-21","NF029",NA,3.432,2,"Dec",17,6
"416","Columnea ciliata",12,"2013","Purple-bibbed Whitetip",297,1,7,46,0,"1500_1700","2013-12-01","NF012",NA,2.892,2,"Dec",12,6
"417","Columnea ciliata",12,"2013","Booted Racket-tail",297,1,8,46,0,"1500_1700","2013-12-01","NF012",NA,3.53,2,"Dec",2,6
"418","Columnea ciliata",12,"2013","Tawny-bellied Hermit",308,2,11,46,2,"1500_1700","2013-12-22","NF029",1537,0.759,2,"Dec",15,6
"419","Columnea ciliata",12,"2013","Purple-bibbed Whitetip",308,1,7,46,0,"1500_1700","2013-12-21","NF029",NA,2.892,2,"Dec",12,6
"420","Columnea ciliata",12,"2013","Stripe-throated Hermit",308,2,4,46,1,"1500_1700","2013-12-22","NF029",1537,2.56,2,"Dec",14,6
"421","Columnea ciliata",12,"2013","Stripe-throated Hermit",308,1,4,46,1,"1500_1700","2013-12-21","NF029",1537,2.56,2,"Dec",14,6
"422","Columnea ciliata",12,"2013","Wedge-billed Hummingbird",297,1,6,46,0,"1500_1700","2013-12-01","NF012",NA,3.432,2,"Dec",17,6
"423","Columnea ciliata",12,"2013","Tawny-bellied Hermit",308,1,11,46,1,"1500_1700","2013-12-21","NF029",1537,0.759,2,"Dec",15,6
"424","Columnea ciliata",12,"2013","Stripe-throated Hermit",297,1,4,46,1,"1500_1700","2013-12-01","NF012",1537,2.56,2,"Dec",14,6
"425","Columnea ciliata",12,"2013","Wedge-billed Hummingbird",308,2,6,46,0,"1500_1700","2013-12-22","NF029",NA,3.432,2,"Dec",17,6
"426","Columnea ciliata",12,"2013","Purple-bibbed Whitetip",308,2,7,46,0,"1500_1700","2013-12-22","NF029",NA,2.892,2,"Dec",12,6
"427","Columnea ciliata",12,"2013","Booted Racket-tail",308,1,8,46,0,"1500_1700","2013-12-21","NF029",NA,3.53,2,"Dec",2,6
"428","Columnea ciliata",12,"2013","Booted Racket-tail",308,2,8,46,0,"1500_1700","2013-12-22","NF029",NA,3.53,2,"Dec",2,6
"429","Columnea kucyniakii",1,"2014","Purple-bibbed Whitetip",72,1,7,49,0,"1900_2100","2014-01-08","FH207",NA,1.98,103.333333333333,"Jan",12,7
"430","Columnea kucyniakii",1,"2014","Tawny-bellied Hermit",72,1,11,49,7,"1900_2100","2014-01-08","FH207",1940,0.153,103.333333333333,"Jan",15,7
"431","Columnea kucyniakii",1,"2014","Violet-tailed Sylph",126,1,14,49,1,"1700_1900","2014-01-01","FH507",1830,2.286,103.333333333333,"Jan",16,7
"432","Columnea kucyniakii",1,"2014","Brown Inca",72,1,13,49,1,"1900_2100","2014-01-08","FH207",1940,0.554,103.333333333333,"Jan",3,7
"433","Columnea kucyniakii",1,"2014","Purple-bibbed Whitetip",7,1,7,49,0,"1700_1900","2014-01-28","FH109",NA,1.98,103.333333333333,"Jan",12,7
"434","Columnea kucyniakii",1,"2014","Wedge-billed Hummingbird",72,1,6,49,0,"1900_2100","2014-01-08","FH207",NA,2.52,103.333333333333,"Jan",17,7
"435","Columnea kucyniakii",1,"2014","Wedge-billed Hummingbird",7,1,6,49,0,"1700_1900","2014-01-28","FH109",NA,2.52,103.333333333333,"Jan",17,7
"436","Columnea kucyniakii",1,"2014","Tawny-bellied Hermit",126,1,11,49,0,"1700_1900","2014-01-01","FH507",NA,0.153,103.333333333333,"Jan",15,7
"437","Columnea kucyniakii",1,"2014","Tawny-bellied Hermit",101,1,11,49,0,"1900_2100","2014-01-21","FH408",NA,0.153,103.333333333333,"Jan",15,7
"438","Columnea kucyniakii",1,"2014","Booted Racket-tail",72,1,8,49,0,"1900_2100","2014-01-08","FH207",NA,2.618,103.333333333333,"Jan",2,7
"439","Columnea kucyniakii",1,"2014","Green-crowned Brilliant",101,1,10,49,0,"1900_2100","2014-01-21","FH408",NA,1.733,103.333333333333,"Jan",9,7
"440","Columnea kucyniakii",1,"2014","Purple-bibbed Whitetip",126,1,7,49,0,"1700_1900","2014-01-01","FH507",NA,1.98,103.333333333333,"Jan",12,7
"441","Columnea kucyniakii",1,"2014","Violet-tailed Sylph",7,1,14,49,1,"1700_1900","2014-01-28","FH109",1880,2.286,103.333333333333,"Jan",16,7
"442","Columnea kucyniakii",1,"2014","Purple-bibbed Whitetip",101,1,7,49,0,"1900_2100","2014-01-21","FH408",NA,1.98,103.333333333333,"Jan",12,7
"443","Columnea kucyniakii",1,"2014","Booted Racket-tail",126,1,8,49,0,"1700_1900","2014-01-01","FH507",NA,2.618,103.333333333333,"Jan",2,7
"444","Columnea kucyniakii",1,"2014","Brown Inca",101,1,13,49,4,"1900_2100","2014-01-21","FH408",1920,0.554,103.333333333333,"Jan",3,7
"445","Columnea kucyniakii",1,"2014","Green-crowned Brilliant",126,1,10,49,0,"1700_1900","2014-01-01","FH507",NA,1.733,103.333333333333,"Jan",9,7
"446","Columnea kucyniakii",1,"2014","Booted Racket-tail",7,1,8,49,0,"1700_1900","2014-01-28","FH109",NA,2.618,103.333333333333,"Jan",2,7
"447","Columnea kucyniakii",1,"2014","Tawny-bellied Hermit",7,1,11,49,0,"1700_1900","2014-01-28","FH109",NA,0.153,103.333333333333,"Jan",15,7
"448","Columnea kucyniakii",1,"2014","Brown Inca",126,1,13,49,1,"1700_1900","2014-01-01","FH507",1830,0.554,103.333333333333,"Jan",3,7
"449","Columnea kucyniakii",1,"2014","Wedge-billed Hummingbird",126,1,6,49,0,"1700_1900","2014-01-01","FH507",NA,2.52,103.333333333333,"Jan",17,7
"450","Columnea kucyniakii",1,"2014","Fawn-breasted Brilliant",72,1,12,49,0,"1900_2100","2014-01-08","FH207",NA,1.842,103.333333333333,"Jan",7,7
"451","Columnea kucyniakii",1,"2014","Green-crowned Brilliant",72,1,10,49,0,"1900_2100","2014-01-08","FH207",NA,1.733,103.333333333333,"Jan",9,7
"452","Columnea kucyniakii",1,"2014","Wedge-billed Hummingbird",101,1,6,49,0,"1900_2100","2014-01-21","FH408",NA,2.52,103.333333333333,"Jan",17,7
"453","Columnea kucyniakii",1,"2014","Booted Racket-tail",101,1,8,49,0,"1900_2100","2014-01-21","FH408",NA,2.618,103.333333333333,"Jan",2,7
"454","Columnea kucyniakii",1,"2014","Green-crowned Brilliant",7,1,10,49,0,"1700_1900","2014-01-28","FH109",NA,1.733,103.333333333333,"Jan",9,7
"455","Columnea kucyniakii",1,"2015","Violet-tailed Sylph",36,1,14,49,0,"1900_2100","2015-01-13","FH1211",NA,2.286,118.25,"Jan",16,7
"456","Columnea kucyniakii",1,"2015","Fawn-breasted Brilliant",234,1,12,49,0,"1900_2100","2015-01-19","FH914",NA,1.842,118.25,"Jan",7,7
"457","Columnea kucyniakii",1,"2015","Tawny-bellied Hermit",36,1,11,49,0,"1900_2100","2015-01-13","FH1211",NA,0.153,118.25,"Jan",15,7
"458","Columnea kucyniakii",1,"2015","Tawny-bellied Hermit",234,1,11,49,0,"1900_2100","2015-01-19","FH914",NA,0.153,118.25,"Jan",15,7
"459","Columnea kucyniakii",1,"2015","Brown Inca",234,1,13,49,1,"1900_2100","2015-01-19","FH914",1950,0.554,118.25,"Jan",3,7
"460","Columnea kucyniakii",1,"2015","Purple-bibbed Whitetip",170,1,7,49,0,"1900_2100","2015-01-13","FH631",NA,1.98,118.25,"Jan",12,7
"461","Columnea kucyniakii",1,"2015","Brown Inca",170,1,13,49,2,"1900_2100","2015-01-13","FH631",1950,0.554,118.25,"Jan",3,7
"462","Columnea kucyniakii",1,"2015","Fawn-breasted Brilliant",170,1,12,49,0,"1900_2100","2015-01-13","FH631",NA,1.842,118.25,"Jan",7,7
"463","Columnea kucyniakii",1,"2015","Tawny-bellied Hermit",170,1,11,49,0,"1900_2100","2015-01-13","FH631",NA,0.153,118.25,"Jan",15,7
"464","Columnea kucyniakii",1,"2015","Purple-bibbed Whitetip",234,1,7,49,0,"1900_2100","2015-01-19","FH914",NA,1.98,118.25,"Jan",12,7
"465","Columnea kucyniakii",1,"2015","Brown Inca",36,1,13,49,1,"1900_2100","2015-01-13","FH1211",1974,0.554,118.25,"Jan",3,7
"466","Columnea kucyniakii",1,"2015","Green-crowned Brilliant",170,1,10,49,0,"1900_2100","2015-01-13","FH631",NA,1.733,118.25,"Jan",9,7
"467","Columnea kucyniakii",1,"2015","Green-crowned Brilliant",36,1,10,49,0,"1900_2100","2015-01-13","FH1211",NA,1.733,118.25,"Jan",9,7
"468","Columnea kucyniakii",1,"2015","Booted Racket-tail",234,1,8,49,0,"1900_2100","2015-01-19","FH914",NA,2.618,118.25,"Jan",2,7
"469","Columnea kucyniakii",1,"2015","Booted Racket-tail",170,1,8,49,0,"1900_2100","2015-01-13","FH631",NA,2.618,118.25,"Jan",2,7
"470","Columnea kucyniakii",1,"2015","Green-crowned Brilliant",234,1,10,49,0,"1900_2100","2015-01-19","FH914",NA,1.733,118.25,"Jan",9,7
"471","Columnea kucyniakii",2,"2014","Violet-tailed Sylph",320,2,14,49,2,"1500_1700","2014-02-16","NF056",1667,2.286,71.25,"Feb",16,7
"472","Columnea kucyniakii",2,"2014","Wedge-billed Hummingbird",320,2,6,49,0,"1500_1700","2014-02-16","NF056",NA,2.52,71.25,"Feb",17,7
"473","Columnea kucyniakii",2,"2014","Tawny-bellied Hermit",320,1,11,49,3,"1500_1700","2014-02-15","NF056",1667,0.153,71.25,"Feb",15,7
"474","Columnea kucyniakii",2,"2014","Purple-bibbed Whitetip",320,1,7,49,0,"1500_1700","2014-02-15","NF056",NA,1.98,71.25,"Feb",12,7
"475","Columnea kucyniakii",2,"2014","Wedge-billed Hummingbird",320,1,6,49,0,"1500_1700","2014-02-15","NF056",NA,2.52,71.25,"Feb",17,7
"476","Columnea kucyniakii",2,"2014","Purple-bibbed Whitetip",320,2,7,49,0,"1500_1700","2014-02-16","NF056",NA,1.98,71.25,"Feb",12,7
"477","Columnea kucyniakii",2,"2014","Booted Racket-tail",320,2,8,49,0,"1500_1700","2014-02-16","NF056",NA,2.618,71.25,"Feb",2,7
"478","Columnea kucyniakii",2,"2014","Tawny-bellied Hermit",320,2,11,49,3,"1500_1700","2014-02-16","NF056",1667,0.153,71.25,"Feb",15,7
"479","Columnea kucyniakii",2,"2014","Violet-tailed Sylph",320,1,14,49,1,"1500_1700","2014-02-15","NF056",1667,2.286,71.25,"Feb",16,7
"480","Columnea kucyniakii",2,"2014","Booted Racket-tail",320,1,8,49,0,"1500_1700","2014-02-15","NF056",NA,2.618,71.25,"Feb",2,7
"481","Columnea kucyniakii",2,"2015","Buff-tailed Coronet",172,1,17,49,0,"2300_2500","2015-02-11","FH633",NA,2.222,174,"Feb",4,7
"482","Columnea kucyniakii",2,"2015","Collared Inca",172,1,16,49,0,"2300_2500","2015-02-11","FH633",NA,0.669,174,"Feb",5,7
"483","Columnea kucyniakii",2,"2015","Tawny-bellied Hermit",172,1,11,49,1,"2300_2500","2015-02-11","FH633",2320,0.153,174,"Feb",15,7
"484","Columnea kucyniakii",2,"2015","Gorgeted Sunangel",172,1,19,49,0,"2300_2500","2015-02-11","FH633",NA,2.345,174,"Feb",8,7
"485","Columnea kucyniakii",2,"2015","Hoary Puffleg",172,1,18,49,0,"2300_2500","2015-02-11","FH633",NA,2.16,174,"Feb",11,7
"486","Columnea kucyniakii",12,"2013","Tawny-bellied Hermit",90,1,11,49,3,"1900_2100","2013-12-04","FH304",2020,0.153,0,NA,15,7
"487","Columnea kucyniakii",12,"2013","Tawny-bellied Hermit",90,2,11,49,3,"1900_2100","2013-12-05","FH304",2020,0.153,0,NA,15,7
"488","Columnea kucyniakii",12,"2013","Violet-tailed Sylph",90,2,14,49,3,"1900_2100","2013-12-05","FH304",2020,2.286,0,NA,16,7
"489","Columnea kucyniakii",12,"2013","Violet-tailed Sylph",90,1,14,49,7,"1900_2100","2013-12-04","FH304",2020,2.286,0,NA,16,7
"490","Columnea kucyniakii",12,"2013","Green-crowned Brilliant",90,1,10,49,0,"1900_2100","2013-12-04","FH304",NA,1.733,0,NA,9,7
"491","Columnea kucyniakii",12,"2013","Green-crowned Brilliant",90,2,10,49,0,"1900_2100","2013-12-05","FH304",NA,1.733,0,NA,9,7
"492","Columnea mastersonii",1,"2015","White-whiskered Hermit",355,1,3,47,1,"1500_1700","2015-01-21","NF173",1530,0.119,0,NA,18,8
"493","Columnea mastersonii",1,"2015","Booted Racket-tail",355,1,8,47,0,"1500_1700","2015-01-21","NF173",NA,3.047,0,NA,2,8
"494","Columnea mastersonii",1,"2015","Purple-bibbed Whitetip",355,1,7,47,0,"1500_1700","2015-01-21","NF173",NA,2.409,0,NA,12,8
"495","Columnea mastersonii",1,"2015","Wedge-billed Hummingbird",355,1,6,47,0,"1500_1700","2015-01-21","NF173",NA,2.949,0,NA,17,8
"496","Columnea mastersonii",7,"2013","Tawny-bellied Hermit",265,1,11,47,1,NA,"2013-07-10","FL064",1300,0.276,0,NA,15,8
"497","Columnea mastersonii",7,"2014","Tawny-bellied Hermit",111,1,11,47,2,"1900_2100","2014-07-22","FH420",2020,0.276,0,NA,15,8
"498","Columnea mastersonii",7,"2014","Violet-tailed Sylph",111,1,14,47,0,"1900_2100","2014-07-22","FH420",NA,2.715,0,NA,16,8
"499","Columnea mastersonii",7,"2014","Green-crowned Brilliant",111,1,10,47,0,"1900_2100","2014-07-22","FH420",NA,2.162,0,NA,9,8
"500","Columnea mastersonii",8,"2013","Crowned Woodnymph",289,2,2,47,0,"1300_1500","2013-08-15","FL100",NA,2.27,0,NA,6,8
"501","Columnea mastersonii",8,"2013","Stripe-throated Hermit",289,1,4,47,2,"1300_1500","2013-08-14","FL100",1370,2.077,0,NA,14,8
"502","Columnea mastersonii",8,"2013","Stripe-throated Hermit",289,2,4,47,1,"1300_1500","2013-08-15","FL100",1370,2.077,0,NA,14,8
"503","Columnea mastersonii",8,"2013","White-whiskered Hermit",289,2,3,47,7,"1300_1500","2013-08-15","FL100",1370,0.119,0,NA,18,8
"504","Columnea mastersonii",8,"2013","Wedge-billed Hummingbird",289,1,6,47,0,"1300_1500","2013-08-14","FL100",NA,2.949,0,NA,17,8
"505","Columnea mastersonii",8,"2013","Crowned Woodnymph",289,1,2,47,0,"1300_1500","2013-08-14","FL100",NA,2.27,0,NA,6,8
"506","Columnea mastersonii",8,"2013","Tawny-bellied Hermit",289,1,11,47,2,"1300_1500","2013-08-14","FL100",1370,0.276,0,NA,15,8
"507","Columnea mastersonii",8,"2013","Tawny-bellied Hermit",289,2,11,47,3,"1300_1500","2013-08-15","FL100",1370,0.276,0,NA,15,8
"508","Columnea mastersonii",8,"2013","White-whiskered Hermit",289,1,3,47,2,"1300_1500","2013-08-14","FL100",1370,0.119,0,NA,18,8
"509","Columnea mastersonii",8,"2013","Wedge-billed Hummingbird",289,2,6,47,0,"1300_1500","2013-08-15","FL100",NA,2.949,0,NA,17,8
"510","Columnea mastersonii",8,"2014","Collared Inca",112,1,16,47,0,"2100_2300","2014-08-01","FH421",NA,1.098,0,NA,5,8
"511","Columnea mastersonii",8,"2014","Green-fronted Lancebill",112,1,15,47,0,"2100_2300","2014-08-01","FH421",NA,1.08,0,NA,10,8
"512","Columnea mastersonii",8,"2014","Tawny-bellied Hermit",112,1,11,47,1,"2100_2300","2014-08-01","FH421",2260,0.276,0,NA,15,8
"513","Columnea mastersonii",8,"2014","Buff-tailed Coronet",112,1,17,47,0,"2100_2300","2014-08-01","FH421",NA,2.651,0,NA,4,8
"514","Columnea mastersonii",9,"2014","Green-fronted Lancebill",9,1,15,47,0,"2100_2300","2014-09-10","FH1103",NA,1.08,0,NA,10,8
"515","Columnea mastersonii",9,"2014","Tawny-bellied Hermit",9,1,11,47,5,"2100_2300","2014-09-10","FH1103",2110,0.276,0,NA,15,8
"516","Columnea mastersonii",9,"2014","Violet-tailed Sylph",9,1,14,47,0,"2100_2300","2014-09-10","FH1103",NA,2.715,0,NA,16,8
"517","Columnea mastersonii",11,"2013","Booted Racket-tail",300,1,8,47,0,"1500_1700","2013-11-30","NF015",NA,3.047,0,NA,2,8
"518","Columnea mastersonii",11,"2013","Purple-bibbed Whitetip",300,1,7,47,0,"1500_1700","2013-11-30","NF015",NA,2.409,0,NA,12,8
"519","Columnea mastersonii",11,"2013","Wedge-billed Hummingbird",300,1,6,47,0,"1500_1700","2013-11-30","NF015",NA,2.949,0,NA,17,8
"520","Columnea mastersonii",11,"2013","Tawny-bellied Hermit",300,1,11,47,1,"1500_1700","2013-11-30","NF015",1688,0.276,0,NA,15,8
"521","Columnea mastersonii",11,"2013","Wedge-billed Hummingbird",295,1,6,47,0,"1300_1500","2013-11-30","NF010",NA,2.949,0,NA,17,8
"522","Columnea mastersonii",11,"2013","White-whiskered Hermit",295,1,3,47,2,"1300_1500","2013-11-30","NF010",1359,0.119,0,NA,18,8
"523","Columnea mastersonii",12,"2013","Crowned Woodnymph",302,2,2,47,0,"1300_1500","2013-12-15","NF017",NA,2.27,0,NA,6,8
"524","Columnea mastersonii",12,"2013","Stripe-throated Hermit",307,1,4,47,3,"1300_1500","2013-12-21","NF028",1457,2.077,0,NA,14,8
"525","Columnea mastersonii",12,"2013","Booted Racket-tail",300,2,8,47,0,"1500_1700","2013-12-01","NF015",NA,3.047,0,NA,2,8
"526","Columnea mastersonii",12,"2013","Wedge-billed Hummingbird",300,2,6,47,0,"1500_1700","2013-12-01","NF015",NA,2.949,0,NA,17,8
"527","Columnea mastersonii",12,"2013","Wedge-billed Hummingbird",306,1,6,47,0,"1300_1500","2013-12-22","NF027A",NA,2.949,0,NA,17,8
"528","Columnea mastersonii",12,"2013","Wedge-billed Hummingbird",302,1,6,47,0,"1300_1500","2013-12-14","NF017",NA,2.949,0,NA,17,8
"529","Columnea mastersonii",12,"2013","Wedge-billed Hummingbird",295,2,6,47,0,"1300_1500","2013-12-01","NF010",NA,2.949,0,NA,17,8
"530","Columnea mastersonii",12,"2013","Crowned Woodnymph",302,1,2,47,0,"1300_1500","2013-12-14","NF017",NA,2.27,0,NA,6,8
"531","Columnea mastersonii",12,"2013","Tawny-bellied Hermit",300,2,11,47,1,"1500_1700","2013-12-01","NF015",1688,0.276,0,NA,15,8
"532","Columnea mastersonii",12,"2013","Wedge-billed Hummingbird",302,2,6,47,0,"1300_1500","2013-12-15","NF017",NA,2.949,0,NA,17,8
"533","Columnea mastersonii",12,"2013","Wedge-billed Hummingbird",307,1,6,47,0,"1300_1500","2013-12-21","NF028",NA,2.949,0,NA,17,8
"534","Columnea mastersonii",12,"2013","Purple-bibbed Whitetip",307,1,7,47,0,"1300_1500","2013-12-21","NF028",NA,2.409,0,NA,12,8
"535","Columnea mastersonii",12,"2013","Purple-bibbed Whitetip",300,2,7,47,0,"1500_1700","2013-12-01","NF015",NA,2.409,0,NA,12,8
"536","Columnea mastersonii",12,"2013","White-whiskered Hermit",295,2,3,47,1,"1300_1500","2013-12-01","NF010",1359,0.119,0,NA,18,8
"537","Columnea mastersonii",12,"2013","White-whiskered Hermit",302,2,3,47,3,"1300_1500","2013-12-15","NF017",1370,0.119,0,NA,18,8
"538","Columnea mastersonii",12,"2013","White-whiskered Hermit",306,1,3,47,1,"1300_1500","2013-12-22","NF027A",1367,0.119,0,NA,18,8
"539","Columnea mastersonii",12,"2013","White-whiskered Hermit",302,1,3,47,3,"1300_1500","2013-12-14","NF017",1370,0.119,0,NA,18,8
"540","Columnea medicinalis",8,"2015","Tawny-bellied Hermit",149,1,11,51,1,"2100_2300","2015-08-12","FH545",2130,0.158,13,"Aug",15,9
"541","Columnea medicinalis",8,"2015","Green-fronted Lancebill",149,1,15,51,0,"2100_2300","2015-08-12","FH545",NA,0.646,13,"Aug",10,9
"542","Columnea medicinalis",8,"2015","Violet-tailed Sylph",149,1,14,51,0,"2100_2300","2015-08-12","FH545",NA,2.281,13,"Aug",16,9
"543","Columnea picta",1,"2014","Purple-bibbed Whitetip",312,1,7,53,0,"1300_1500","2014-01-18","NF036",NA,0.953,14,"Jan",12,10
"544","Columnea picta",1,"2014","Wedge-billed Hummingbird",312,1,6,53,0,"1300_1500","2014-01-18","NF036",NA,1.493,14,"Jan",17,10
"545","Columnea picta",1,"2014","White-whiskered Hermit",311,1,3,53,0,"1300_1500","2014-01-18","NF034",NA,1.337,14,"Jan",18,10
"546","Columnea picta",1,"2014","Stripe-throated Hermit",311,1,4,53,2,"1300_1500","2014-01-18","NF034",1371,0.621,14,"Jan",14,10
"547","Columnea picta",1,"2014","Stripe-throated Hermit",312,1,4,53,1,"1300_1500","2014-01-18","NF036",1481,0.621,14,"Jan",14,10
"548","Columnea picta",1,"2014","Wedge-billed Hummingbird",311,1,6,53,0,"1300_1500","2014-01-18","NF034",NA,1.493,14,"Jan",17,10
"549","Columnea picta",1,"2014","Crowned Woodnymph",311,1,2,53,0,"1300_1500","2014-01-18","NF034",NA,0.814,14,"Jan",6,10
"550","Columnea picta",5,"2015","Tawny-bellied Hermit",83,1,11,53,2,"1900_2100","2015-05-27","FH238",1910,1.18,8.5,"May",15,10
"551","Columnea picta",5,"2015","Brown Inca",83,1,13,53,0,"1900_2100","2015-05-27","FH238",NA,0.473,8.5,"May",3,10
"552","Columnea picta",5,"2015","Green-crowned Brilliant",83,1,10,53,0,"1900_2100","2015-05-27","FH238",NA,0.706,8.5,"May",9,10
"553","Columnea picta",5,"2015","Wedge-billed Hummingbird",83,1,6,53,0,"1900_2100","2015-05-27","FH238",NA,1.493,8.5,"May",17,10
"554","Columnea picta",5,"2015","Purple-bibbed Whitetip",83,1,7,53,0,"1900_2100","2015-05-27","FH238",NA,0.953,8.5,"May",12,10
"555","Columnea picta",5,"2015","Booted Racket-tail",83,1,8,53,0,"1900_2100","2015-05-27","FH238",NA,1.591,8.5,"May",2,10
"556","Columnea picta",6,"2013","Stripe-throated Hermit",239,1,4,53,1,"1300_1500","2013-06-01","FL003",1330,0.621,358.444444444444,"Jun",14,10
"557","Columnea picta",6,"2013","White-whiskered Hermit",239,1,3,53,1,"1300_1500","2013-06-01","FL003",1330,1.337,358.444444444444,"Jun",18,10
"558","Columnea picta",6,"2014","Green-crowned Brilliant",229,1,10,53,0,"1900_2100","2014-06-18","FH901",NA,0.706,3.8,"Jun",9,10
"559","Columnea picta",6,"2014","Tawny-bellied Hermit",229,1,11,53,0,"1900_2100","2014-06-18","FH901",NA,1.18,3.8,"Jun",15,10
"560","Columnea picta",6,"2014","Violet-tailed Sylph",229,1,14,53,4,"1900_2100","2014-06-18","FH901",2090,1.259,3.8,"Jun",16,10
"561","Columnea picta",11,"2013","Violet-tailed Sylph",123,1,14,53,1,"1900_2100","2013-11-19","FH504",2090,1.259,2,"Nov",16,10
"562","Columnea picta",11,"2013","Tawny-bellied Hermit",123,1,11,53,0,"1900_2100","2013-11-19","FH504",NA,1.18,2,"Nov",15,10
"563","Columnea picta",11,"2013","Green-crowned Brilliant",123,1,10,53,0,"1900_2100","2013-11-19","FH504",NA,0.706,2,"Nov",9,10
"564","Columnea strigosa",1,"2015","Gorgeted Sunangel",140,1,19,56,0,"2300_2500","2015-01-19","FH532",NA,3,24.5,"Jan",8,11
"565","Columnea strigosa",1,"2015","Tawny-bellied Hermit",140,1,11,56,1,"2300_2500","2015-01-19","FH532",2350,0.502,24.5,"Jan",15,11
"566","Columnea strigosa",1,"2015","Speckled Hummingbird",140,1,20,56,0,"2300_2500","2015-01-19","FH532",NA,3.061,24.5,"Jan",13,11
"567","Columnea strigosa",1,"2015","Collared Inca",140,1,16,56,0,"2300_2500","2015-01-19","FH532",NA,1.324,24.5,"Jan",5,11
"568","Columnea strigosa",1,"2015","Buff-tailed Coronet",140,1,17,56,0,"2300_2500","2015-01-19","FH532",NA,2.877,24.5,"Jan",4,11
"569","Columnea strigosa",2,"2014","Collared Inca",129,1,16,56,0,"2300_2500","2014-02-12","FH510",NA,1.324,0,NA,5,11
"570","Columnea strigosa",2,"2014","Violet-tailed Sylph",129,1,14,56,1,"2300_2500","2014-02-12","FH510",2380,2.941,0,NA,16,11
"571","Columnea strigosa",2,"2014","Gorgeted Sunangel",129,1,19,56,0,"2300_2500","2014-02-12","FH510",NA,3,0,NA,8,11
