"","species","parameter","Draw","Chain","estimate","par","plant","Yobs","Model","Hummingbird"
"1",1,"detect[1]",3,2,0.912445472230599,"detect",NA,NA,"N-mixture","Collared Inca"
"2",1,"detect[1]",6,2,0.879328637958593,"detect",NA,NA,"N-mixture","Collared Inca"
"3",1,"E[30]",2,2,0.407910808247246,"E",1,0,"N-mixture","Collared Inca"
"4",1,"E[21]",6,1,0.84454063784329,"E",19,0,"N-mixture","Collared Inca"
"5",1,"E[21]",7,1,0.346350440191287,"E",19,0,"N-mixture","Collared Inca"
"6",1,"E[21]",1,2,0,"E",19,0,"N-mixture","Collared Inca"
"7",1,"E[21]",2,2,0,"E",19,0,"N-mixture","Collared Inca"
"8",1,"E[21]",3,2,0,"E",19,0,"N-mixture","Collared Inca"
"9",1,"E[21]",4,2,0,"E",19,0,"N-mixture","Collared Inca"
"10",1,"E[21]",5,2,0,"E",19,0,"N-mixture","Collared Inca"
"11",1,"E[21]",6,2,0,"E",19,0,"N-mixture","Collared Inca"
"12",1,"E[21]",7,2,0,"E",19,0,"N-mixture","Collared Inca"
"13",1,"detect[1]",4,2,0.978918893125275,"detect",NA,NA,"N-mixture","Collared Inca"
"14",1,"detect[1]",5,2,0.635187712277891,"detect",NA,NA,"N-mixture","Collared Inca"
"15",1,"E[49]",1,1,0,"E",8,0,"N-mixture","Collared Inca"
"16",1,"E[49]",2,1,0,"E",8,0,"N-mixture","Collared Inca"
"17",1,"detect[1]",7,2,0.774732774369666,"detect",NA,NA,"N-mixture","Collared Inca"
"18",1,"E[30]",1,1,0.31068307172612,"E",1,0,"N-mixture","Collared Inca"
"19",1,"E[30]",2,1,0,"E",1,0,"N-mixture","Collared Inca"
"20",1,"E[30]",3,1,0,"E",1,0,"N-mixture","Collared Inca"
"21",1,"E[30]",4,1,0.320574987329814,"E",1,0,"N-mixture","Collared Inca"
"22",1,"E[30]",5,1,0,"E",1,0,"N-mixture","Collared Inca"
"23",1,"E[30]",6,1,0.84454063784329,"E",1,0,"N-mixture","Collared Inca"
"24",1,"E[30]",7,1,0,"E",1,0,"N-mixture","Collared Inca"
"25",1,"E[30]",1,2,0.468555478889112,"E",1,0,"N-mixture","Collared Inca"
"26",1,"beta1[1]",6,2,-0.107916219811651,"beta1",NA,NA,"N-mixture","Collared Inca"
"27",1,"beta1[1]",7,2,-0.11617994943037,"beta1",NA,NA,"N-mixture","Collared Inca"
"28",1,"E[49]",7,2,0,"E",8,0,"N-mixture","Collared Inca"
"29",1,"E[33]",3,2,0,"E",5,0,"N-mixture","Collared Inca"
"30",1,"E[33]",4,2,0,"E",5,0,"N-mixture","Collared Inca"
"31",1,"E[33]",5,2,0,"E",5,0,"N-mixture","Collared Inca"
"32",1,"E[33]",6,2,0,"E",5,0,"N-mixture","Collared Inca"
"33",1,"E[33]",7,2,0.470852310186591,"E",5,0,"N-mixture","Collared Inca"
